"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"mcmc1",7.64865852840517,8.08961467323445,8.22313352283665,8.57699876648075,8.67874090563995,8.48365239861613,7.47474940617195,6.94053474285638,7.66692117063904,8.66183641375657,8.91102036948235,8.10181476196667,7.50876942768276,8.23445314473037,7.89683044944778,8.12253140931446,8.0663179380904,7.50836600683684,9.37188736028823,8.19145758488362,8.45392897926649,7.75454440805644,8.32561062051426,6.84438136931603,8.0292755796799,8.27076129422595,7.89976261258882,7.68269662454235,8.10005531132702,7.89692157477047,7.65748763559471,7.62578362872963,8.14963995849115,7.28433117285511,8.32029424428088,8.0640971674686,8.58069632885324,8.10973768810511,7.77920315175918,8.42803564650487,8.56583402215311,7.72093965820219,8.01135719964746,8.19983869720154,8.31149513849549,7.50362455704186,8.47763519805867,9.07682576546299,7.68017964331999,7.8743135909555,8.2798484105197,8.12991161371771,8.85677354285504,7.79111256465692,8.06201118069057,6.89051315761899,7.52551266892713,7.18117768098983,7.8440651518707,8.51064747224559,9.06273478813013,7.71829488976273,8.63674651471099,8.84852441148952,9.09409935922624,7.41459408306484,7.51280019037295,8.99188225583034,6.85393872045393,9.09008414223109,7.91703009952746,6.63039956258142,8.90402021928943,7.91930232866731,8.37899380906126,8.43398230553651,8.50261822041402,7.43655018663351,7.73520966139516,7.96118126942836,8.8152089049515,7.81037015755683,9.21046026218415,7.66204027924413,8.17249690316092,8.41805241371266,6.86622589775927,8.19113112595184,8.37987299516796,8.31616700940397,7.19734362139194,7.46322324832673,8.19553326262304,8.18496726428965,8.04907523751651,9.13727416198194,9.24901986703903,7.78399881487383,7.79399760625254,7.4968150403616
"mcmc2",8.21525956684905,7.89629338342524,7.94210581555756,7.88188708180463,7.93624807369095,8.18444933570777,8.25642222875086,8.04489401424105,7.81661059501539,8.07006940439822,7.63409866441894,8.11207493576083,8.15693607050226,7.74063162653734,8.37631415104219,8.28135769407305,8.29188575997426,7.88850871486895,8.01988935918575,7.87875376868302,7.81724152152529,7.76832242328193,7.92445519514575,8.19993392219876,7.8216633161701,7.94718855240649,7.93127151456583,8.09015127306433,7.94663209695116,8.25261206861622,8.16665537012778,8.03718172276798,7.97684539795083,8.45812402322812,8.13782447512015,8.13268436435693,7.51462002034422,7.90123763023456,8.16321751217275,7.64787148936409,8.15743326514865,8.24010419712622,8.18614631483132,7.97348581753981,7.83900193434211,8.15813297145866,7.82490919494823,8.36976543980022,8.31982569701844,7.98317999190478,8.1534943817479,7.909062956733,7.80559786225566,7.90358614372744,8.32873717379371,8.25395158314745,7.73789503795551,8.10823655959738,8.11379084208952,7.76551642630596,8.18924239641162,8.29920777794983,8.4793780430371,7.72007330699703,7.82356662491006,8.31746607886981,8.16788043333053,8.3792912594604,8.21245507119385,7.73316824263536,8.13260429725801,7.84267406503011,7.47729106748678,8.03355565141736,8.00725211028841,7.94053465168526,7.70598170286909,7.80314550631212,7.71201337903329,8.24037145328382,7.99335882627164,7.84262135710678,8.45009104855917,7.70082822789292,8.03753268151622,8.66483184153124,8.08511340556068,7.81559120772805,8.01785796669383,8.28758504703395,8.31750016282328,8.04115721825215,8.36676548140149,7.76801333825728,7.74496026155511,8.00075027681612,8.06295174490311,8.32038242038476,7.63771366308512,7.82561904584481
"mcmc3",7.96509376917729,8.2734694952272,7.8271654423179,8.0801132616846,7.83946216936529,8.25602205417258,8.26469980380064,7.70244742930748,8.07428514475724,8.17119752250202,7.99578850683212,7.86036921746675,8.07150902097567,8.06471899828171,8.27962537240089,7.85296947007982,8.10482025708194,8.13243036437236,8.18737437706252,7.9258942967058,8.01369344733275,8.07330993174245,7.72719061339339,8.34700378096434,8.06007303602751,8.34775526458805,7.91357474357449,7.98205458276487,8.46002518366082,8.03612440862752,8.31276361960163,8.02277037729823,8.18981750562459,7.92789629428114,7.96645065715524,8.1790783480814,8.19606840157001,8.33376587994841,8.32075787628991,8.24265717598966,8.05834696538565,8.38410698473001,7.8305707113035,8.12939688509731,8.20091301075455,8.08502594151986,8.04021477430209,8.09894161671034,8.06342421123654,7.75853197199725,8.02980392081494,8.45352998422319,7.83343351173659,7.96648774524259,8.07149504882932,8.48703342041864,7.84602698760894,8.06878241416293,8.00516496753894,8.31868649882085,8.1933972787604,7.83124040177998,8.03977538691039,7.82199719772252,7.96427552319509,7.64300391778817,7.97790239164774,8.04998850993242,8.36575771118927,8.09261197113621,7.62205849049878,7.7539778657438,8.55279948592632,7.95330876950212,7.87488553208832,8.40993687994678,8.30593685187144,7.98713331442446,7.92423705950629,8.49128374845387,8.53450495124081,7.95606856179239,7.5815526964681,8.49497297705659,8.08637561792699,8.08819969600428,8.42552915795053,8.30466966857808,8.56112463813707,8.4996516617087,8.39826904043763,8.28660646322005,8.42260756036366,8.24033238635431,8.32286627001828,8.30143994568925,8.35992918453661,8.30967176112428,7.97369871850364,8.29191023454618
"mcmc4",8.10159857939346,8.00097216166056,8.25029546379905,8.30654681487123,7.91187367584885,8.01310323067374,8.03698084570756,7.95981556814782,8.1199486913495,8.10502865586494,8.27224348208038,8.08860094815941,8.05346498265342,8.13912074982352,8.25681182369612,8.25370935187422,7.9631024970645,7.99100870927024,8.36264785427346,8.01631401187959,8.01996939820675,8.19469769956898,8.14529816472051,8.16815161189649,8.27890971272551,8.00947188527647,8.40813875123055,8.05373118626477,8.04146266351711,8.09353329768965,8.27582951658353,7.96602825712858,7.96318752208556,8.392239629293,8.05805010031778,8.07448532684567,8.0089025468936,8.20876451595275,8.13756748500999,7.93237767747112,8.12029253097964,8.10921075011168,8.11909578349496,8.24692856069882,8.116634624707,8.1266345970437,8.37393528867997,8.05635781111774,8.0949809326161,8.23063584013662,8.12730005701045,8.12450565961578,8.3856857087428,8.07505779152346,8.23826625588124,8.17963139731427,8.18170860348103,8.06742633309948,8.17668707864259,7.91605771973768,8.12152735773168,8.27959374777447,8.08892734880376,7.93652021918781,8.14764525649964,8.04098869714988,8.03790921971393,8.08852349724957,7.87228437531393,8.01446667690652,8.02551266119462,8.0927308350313,8.21795715343363,7.94006092808852,8.13507030843428,8.22578695333517,8.04445081054195,7.98031026784249,7.86091379125642,8.21544431698737,7.79885730424833,8.30074721600223,8.17142282274977,8.38042238566063,8.2229273797656,8.09146025449115,8.352465960076,8.21585005185036,8.10902887659532,8.16000345108052,8.18190217191421,8.1020559923854,8.4115569603224,8.11198004413101,7.97482475085461,8.23287689359596,8.07737910072025,7.96136045085948,7.95303304696107,8.06622386159325
"mcmc5",8.0146029140012,8.03456697392886,8.0636340118153,8.10199281495814,8.09271207305716,8.10854828112941,8.16130597108656,8.20091161120031,8.15361365737071,7.99520741974264,8.1284306752118,8.06608805682428,8.17371817092237,7.96165688357923,8.00732547007522,7.99986574633058,8.17298254582084,8.21456551335197,8.20522103906314,8.10652893427558,8.20869715845423,8.12507034213341,7.94123205994489,8.03579403499501,8.11191610924252,8.01434058400758,8.21779124781733,8.1083947682168,8.13991746546338,8.18077917800601,8.24842616348711,8.04485978311843,8.28591293653633,8.247400795396,8.18874033618953,8.14637984555039,8.05821782618416,8.05611055037449,8.15830328036367,8.22546502039427,8.12084443118697,8.16292086811551,8.15237282795771,8.10598365255954,8.09803490484851,8.19531547356294,8.1006820474432,8.16728791016879,7.86276510638712,8.25228595504383,8.07936807827553,8.22365952768449,8.08819657938229,8.13647697317513,8.05347626750135,8.29752179272616,8.20142020822961,8.14633854684168,8.04285275782844,7.8904622996788,8.14392432222405,8.27157384931058,8.15619565857315,8.15107459428341,8.0601348900573,8.06427998081828,8.16612133934353,8.2098001468325,8.21762134748355,8.05477699168507,8.08507175972169,8.12076407006351,8.102778078397,8.01363188100837,8.11994223060796,8.15235141808169,8.02404622437501,8.02114522901634,8.05485622775232,8.10040465336396,8.06714770768495,8.12457115311483,8.14636902815744,8.09042459075904,8.08133449914776,7.9979605002532,7.9944966846546,8.05896876641182,8.08875721050343,8.13481225932132,8.06575226443691,7.93942811930551,8.08899590756926,8.15200775313667,8.14584095823481,8.01402086526333,8.07595956598294,8.07939154666724,8.11400205277937,8.05876847028204
"shotgun1",18.0601093202536,17.9066970956574,17.8408424837226,17.6243378854638,16.9087784981763,16.3373500213047,18.2052109136525,17.4721648704287,15.1594048145707,18.5157852783055,15.632919638049,17.138892317555,16.114764306292,16.6683679288222,17.343310723405,17.5887095661158,17.7458717061725,16.4071783224659,17.5302681190697,16.8200594170453,17.2634941908684,16.7017184512347,16.9531450063414,16.4212241362368,17.3378400715715,17.5017120730228,18.0650984452752,16.8900080901239,16.8551306758309,16.2122104439582,16.813032537964,16.4764290732864,17.0944966842799,18.0601093202536,16.3905424983074,17.76658462728,18.2172714603103,17.6243378854638,16.6633985022733,17.5017120730228,16.8200594170453,16.9391764529745,16.9271159063167,14.6955480275487,15.1594048145707,17.1065572309377,15.8406021252055,17.5017120730228,17.1824853339201,17.6122773388061,17.4050710489328,16.0508522074123,16.6628972769886,17.5017120730228,17.5746637523448,17.0434203147201,17.1115463559592,16.7467138991303,18.2052109136525,17.9523989060531,17.2951848731421,17.4721648704287,18.2172714603103,16.544556311178,17.3889164411312,18.0650984452752,17.9980046237793,16.2333803582507,18.2052109136525,17.1861485833483,18.0650984452752,15.7344720072434,17.3378400715715,16.8578651554962,17.343310723405,18.0800138435157,17.5423286657274,16.5171417586606,17.9980046237793,17.7694394788628,16.8926238903747,17.5973619405655,16.0388362033095,17.7495349556007,17.1065572309377,17.5622331889895,17.1911377083699,18.0650984452752,17.4346182515269,16.0388362033095,16.8254631013193,16.9811349806749,16.7731214560945,15.8216416820609,16.7001078186161,16.3452960332544,17.1115463559592,16.3796368605492,16.3373500213047,16.3274055820898
"shotgun2",17.9523989060531,17.922851703459,18.2052109136525,17.1065572309377,17.6243378854638,16.9923882926255,17.922851703459,17.6874302591264,17.9980046237793,15.2589343998011,17.4050710489328,17.6363538895666,17.7458717061725,17.922851703459,17.7545240806222,18.0800138435157,17.9523989060531,17.3137635208109,18.0650984452752,18.3586231382488,17.3137635208109,18.0480487735959,18.3586231382488,17.7815000255205,17.7458717061725,17.2031982550277,17.4473578881773,16.0388362033095,16.7810674680442,17.9523989060531,17.4212515277486,17.4212515277486,18.0601093202536,17.1065572309377,17.2761499343497,18.5157852783055,17.1911377083699,17.2811390593712,17.6243378854638,17.0795812860393,16.7724150935944,15.930194246483,17.2005824547768,16.982625241376,18.3586231382488,17.922851703459,17.7815000255205,18.3586231382488,18.0800138435157,17.9523989060531,17.1806779315148,17.2005824547768,18.5157852783055,16.9543842159025,17.922851703459,16.744906496725,17.7495349556007,17.7545240806222,17.5423286657274,18.2052109136525,18.2052109136525,17.1684395201492,17.6994908057841,17.3101002713827,16.9083231528336,16.0922588455291,18.2052109136525,17.76658462728,18.3586231382488,18.5157852783055,16.6828018002506,17.1911377083699,17.7545240806222,17.6243378854638,17.4560102626271,17.7545240806222,16.6628972769886,17.1065572309377,17.9980046237793,17.7495349556007,17.2516588243366,16.884677878425,17.7815000255205,17.9523989060531,17.1824853339201,15.9336011492251,17.6243378854638,17.6418245414002,17.1361044335318,17.7815000255205,18.2172714603103,17.7545240806222,17.1239769193145,17.7495349556007,17.4352973415195,17.6418245414002,17.9523989060531,17.9079363052185,18.0800138435157,18.2052109136525
"shotgun3",17.9079363052185,17.3378400715715,18.3586231382488,18.3586231382488,17.9523989060531,17.6094224872233,18.0650984452752,17.7815000255205,18.0800138435157,18.0601093202536,18.5157852783055,18.0601093202536,18.0800138435157,18.5157852783055,18.5157852783055,18.3586231382488,18.5157852783055,18.2172714603103,18.3586231382488,17.6363538895666,17.6994908057841,17.7815000255205,17.922851703459,18.0650984452752,17.6994908057841,18.5157852783055,16.7511610127769,18.0480487735959,17.9980046237793,17.5423286657274,17.1065572309377,18.2172714603103,18.0480487735959,18.5157852783055,17.5423286657274,17.152938131326,18.5157852783055,17.4050710489328,17.0729675173143,17.0916418326971,16.4114707218818,17.9523989060531,17.7495349556007,18.5157852783055,18.3586231382488,17.9523989060531,18.3586231382488,17.9980046237793,18.0601093202536,18.5157852783055,18.2172714603103,17.5423286657274,18.5157852783055,17.9079363052185,17.922851703459,17.4050710489328,18.0601093202536,18.5157852783055,18.3586231382488,18.0800138435157,18.5157852783055,18.3586231382488,17.7318258924015,17.922851703459,17.7495349556007,18.2172714603103,18.0480487735959,18.0800138435157,17.8408424837226,18.0650984452752,17.922851703459,18.3586231382488,17.6243378854638,18.0601093202536,17.4560102626271,17.6874302591264,17.6094224872233,17.5423286657274,17.7318258924015,18.0650984452752,18.2172714603103,17.6994908057841,17.4346182515269,18.0601093202536,18.0601093202536,18.0480487735959,17.922851703459,17.5622331889895,18.5157852783055,17.7694394788628,17.922851703459,17.922851703459,18.3586231382488,18.2052109136525,18.3586231382488,18.5157852783055,18.3586231382488,17.7545240806222,17.9066970956574,17.3137635208109
"shotgun4",18.5157852783055,18.5157852783055,18.5157852783055,17.6418245414002,18.5157852783055,17.7694394788628,18.2052109136525,18.5157852783055,18.3586231382488,18.5157852783055,17.9523989060531,18.5157852783055,17.5740685555214,18.0601093202536,18.3586231382488,18.3586231382488,18.3586231382488,18.0800138435157,18.3586231382488,17.7545240806222,18.5157852783055,18.2052109136525,18.5157852783055,17.9523989060531,18.5157852783055,18.5157852783055,18.3586231382488,18.3586231382488,18.0601093202536,18.0650984452752,17.922851703459,17.922851703459,18.0601093202536,18.3586231382488,17.9523989060531,18.5157852783055,18.3586231382488,18.0800138435157,17.9980046237793,17.7815000255205,17.6994908057841,18.3586231382488,18.5157852783055,18.0650984452752,18.0650984452752,18.3586231382488,18.3586231382488,18.0601093202536,18.5157852783055,18.5157852783055,18.3586231382488,18.0800138435157,17.7815000255205,18.0601093202536,18.5157852783055,17.7545240806222,18.3586231382488,18.5157852783055,18.5157852783055,18.0650984452752,18.5157852783055,18.5157852783055,18.3586231382488,17.6994908057841,18.5157852783055,17.7952367659965,18.5157852783055,17.922851703459,18.5157852783055,17.6874302591264,18.0800138435157,18.0601093202536,18.5157852783055,17.6293270104854,18.0601093202536,18.2172714603103,17.6363538895666,17.7458717061725,17.6243378854638,17.922851703459,18.0601093202536,17.2909021106207,18.0480487735959,18.5157852783055,18.2172714603103,18.0650984452752,18.2052109136525,18.5157852783055,17.9980046237793,18.3586231382488,18.0601093202536,18.5157852783055,18.0601093202536,18.5157852783055,18.3586231382488,18.3586231382488,18.3586231382488,17.922851703459,18.2052109136525,18.2172714603103
"shotgun5",18.2172714603103,18.2172714603103,18.5157852783055,18.5157852783055,18.5157852783055,18.5157852783055,18.5157852783055,18.5157852783055,18.3586231382488,18.5157852783055,18.3586231382488,18.5157852783055,18.5157852783055,18.5157852783055,18.2172714603103,18.3586231382488,18.2172714603103,18.2172714603103,18.0601093202536,18.0601093202536,18.5157852783055,18.5157852783055,18.2172714603103,18.5157852783055,18.5157852783055,18.2052109136525,18.5157852783055,18.0601093202536,18.5157852783055,18.5157852783055,18.5157852783055,18.3586231382488,18.2172714603103,17.922851703459,18.5157852783055,18.2172714603103,17.7815000255205,18.5157852783055,18.5157852783055,18.3586231382488,18.0601093202536,18.5157852783055,18.5157852783055,18.5157852783055,18.5157852783055,18.0601093202536,18.5157852783055,18.5157852783055,18.5157852783055,18.5157852783055,18.5157852783055,18.5157852783055,18.3586231382488,18.5157852783055,18.3586231382488,17.9523989060531,18.2052109136525,18.5157852783055,18.5157852783055,18.3586231382488,18.5157852783055,18.3586231382488,18.0601093202536,18.5157852783055,18.5157852783055,18.5157852783055,18.2172714603103,18.0601093202536,18.2172714603103,18.5157852783055,18.3586231382488,18.5157852783055,18.5157852783055,18.5157852783055,18.5157852783055,18.5157852783055,18.5157852783055,18.3586231382488,18.0800138435157,18.3586231382488,18.5157852783055,18.3586231382488,18.0480487735959,18.5157852783055,18.2052109136525,18.5157852783055,18.5157852783055,18.0650984452752,18.5157852783055,18.5157852783055,18.2172714603103,18.5157852783055,18.3586231382488,18.5157852783055,18.5157852783055,18.3586231382488,18.2172714603103,18.3586231382488,18.5157852783055,18.3586231382488
